auc	precision	recall	fscore_pos	fscore_tot
0.906976744186	0.6	0.43	0.5	0.715
0.902173913043	0.38	0.75	0.5	0.715
0.901515151515	1.0	0.33	0.5	0.73
0.96	1.0	0.6	0.75	0.865
1.0	0.5	1.0	0.67	0.83
0.928888888889	0.4	0.4	0.4	0.665
0.940217391304	1.0	0.5	0.67	0.825
0.957446808511	0.67	0.67	0.67	0.825
0.986710963455	0.67	0.86	0.75	0.85
0.947368421053	0.83	0.83	0.83	0.89
0.967391304348	0.43	0.75	0.55	0.745
0.850815850816	0.71	0.45	0.56	0.73
0.813333333333	0.75	0.6	0.67	0.82
0.978723404255	0.5	0.67	0.57	0.77
0.937777777778	0.57	0.8	0.67	0.81
0.950757575758	0.75	0.5	0.6	0.78
0.992424242424	1.0	0.67	0.8	0.89
1.0	1.0	1.0	1.0	1.0
0.8075	0.55	0.6	0.57	0.73
0.969696969697	1.0	0.83	0.91	0.95
0.940217391304	1.0	0.75	0.86	0.925
0.950166112957	0.8	0.57	0.67	0.81
0.719696969697	0.4	0.33	0.36	0.64
0.875	0.86	0.75	0.8	0.88
1.0	1.0	1.0	1.0	1.0
0.97	0.89	0.8	0.84	0.9
0.911111111111	0.57	0.8	0.67	0.81
0.873754152824	0.38	0.43	0.4	0.645
0.984848484848	1.0	0.67	0.8	0.89
0.92	0.67	0.8	0.73	0.85
0.897727272727	0.67	0.67	0.67	0.81
0.954545454545	0.8	0.67	0.73	0.85
0.89701897019	0.57	0.44	0.5	0.7
0.860465116279	0.75	0.86	0.8	0.88
0.929078014184	0.4	0.67	0.5	0.73
1.0	0.5	1.0	0.67	0.83
0.770833333333	0.8	0.5	0.62	0.78
0.814393939394	0.67	0.67	0.67	0.81
0.87707641196	0.86	0.86	0.86	0.92
0.885780885781	0.7	0.64	0.67	0.79
0.840909090909	0.5	0.33	0.4	0.665
0.764227642276	0.83	0.56	0.67	0.805
0.986449864499	1.0	0.78	0.88	0.93
0.950757575758	1.0	0.33	0.5	0.73
0.994565217391	0.8	1.0	0.89	0.94
0.885780885781	0.71	0.45	0.56	0.73
0.884444444444	0.33	0.2	0.25	0.59
0.964285714286	0.75	0.75	0.75	0.85
0.946843853821	0.64	1.0	0.78	0.865
1.0	0.5	1.0	0.67	0.825
0.946843853821	0.57	0.57	0.57	0.75
0.867208672087	0.7	0.78	0.74	0.84
0.915	1.0	0.9	0.95	0.97
0.995555555556	0.83	1.0	0.91	0.95
0.760869565217	1.0	0.75	0.86	0.925
0.818428184282	0.5	0.44	0.47	0.68
0.941724941725	0.78	0.64	0.7	0.81
0.973214285714	0.86	0.75	0.8	0.88
0.923588039867	0.75	0.86	0.8	0.88
0.934959349593	0.67	0.44	0.53	0.725
0.945799457995	0.88	0.78	0.82	0.89
0.973484848485	0.83	0.83	0.83	0.905
0.923588039867	0.6	0.43	0.5	0.715
0.906976744186	0.8	0.57	0.67	0.81
0.91	0.86	0.6	0.71	0.825
0.946666666667	0.6	0.6	0.6	0.78
0.929347826087	0.33	0.25	0.29	0.62
0.924242424242	0.8	0.67	0.73	0.85
0.950166112957	0.67	0.57	0.62	0.78
0.996212121212	1.0	0.83	0.91	0.95
0.911111111111	1.0	0.6	0.75	0.865
0.90365448505	0.71	0.71	0.71	0.83
1.0	1.0	0.86	0.92	0.955
0.871212121212	0.33	0.33	0.33	0.62
0.947368421053	0.89	0.67	0.76	0.85
0.941724941725	0.83	0.45	0.59	0.755
0.970099667774	0.83	0.71	0.77	0.87
0.936877076412	0.83	0.71	0.77	0.87
0.93023255814	0.67	0.57	0.62	0.78
0.963455149502	0.62	0.71	0.67	0.805
0.940476190476	0.83	0.62	0.71	0.83
0.83	0.5	0.4	0.44	0.66
0.977777777778	0.75	0.6	0.67	0.82
0.964444444444	0.67	0.8	0.73	0.85
0.835555555556	0.5	0.4	0.44	0.695
0.953929539295	0.8	0.44	0.57	0.75
0.946666666667	0.75	0.6	0.67	0.82
0.967391304348	0.6	0.75	0.67	0.82
0.963455149502	1.0	0.71	0.83	0.905
0.814393939394	0.75	0.5	0.6	0.78
0.931818181818	1.0	0.33	0.5	0.73
0.95652173913	0.4	0.5	0.44	0.695
0.996677740864	0.78	1.0	0.88	0.93
0.943181818182	0.57	0.67	0.62	0.78
0.814393939394	0.38	0.5	0.43	0.67
0.994047619048	1.0	0.75	0.86	0.92
0.982222222222	0.75	0.6	0.67	0.82
0.817777777778	0.8	0.8	0.8	0.89
0.916666666667	0.33	0.33	0.33	0.62
0.933333333333	0.6	0.6	0.6	0.78
0.933554817276	0.71	0.71	0.71	0.83
0.959349593496	0.8	0.89	0.84	0.9
0.826086956522	0.5	0.5	0.5	0.73
0.863095238095	0.5	0.38	0.43	0.67
0.826558265583	0.71	0.56	0.63	0.78
0.912878787879	0.5	0.67	0.57	0.75
0.741071428571	0.8	0.5	0.62	0.78
0.982222222222	0.83	1.0	0.91	0.95
0.951086956522	0.67	0.5	0.57	0.77
0.893333333333	0.67	0.4	0.5	0.73
0.973484848485	1.0	0.5	0.67	0.82
0.992907801418	0.75	1.0	0.86	0.925
0.990033222591	0.86	0.86	0.86	0.92
0.954545454545	0.8	0.67	0.73	0.85
0.795555555556	1.0	0.6	0.75	0.865
0.926829268293	0.8	0.89	0.84	0.9
0.871212121212	0.0	0.0	0.0	0.455
0.971631205674	0.0	0.0	0.0	0.485
0.672619047619	0.38	0.38	0.38	0.63
0.760797342193	0.6	0.43	0.5	0.715
0.970238095238	0.83	0.62	0.71	0.83
0.902222222222	0.6	0.6	0.6	0.78
0.962719298246	0.88	0.58	0.7	0.815
0.93023255814	0.67	0.29	0.4	0.665
0.923588039867	0.8	0.57	0.67	0.81
0.907608695652	1.0	0.25	0.4	0.685
0.945799457995	0.75	0.67	0.71	0.825
1.0	1.0	0.75	0.86	0.925
0.879432624113	0.33	0.67	0.44	0.695
0.977272727273	0.83	0.83	0.83	0.905
0.934782608696	0.6	0.75	0.67	0.82
0.962121212121	0.67	0.33	0.44	0.695
0.922619047619	1.0	0.25	0.4	0.665
0.92	0.67	0.4	0.5	0.73
0.952380952381	1.0	0.75	0.86	0.92
0.989583333333	0.67	1.0	0.8	0.895
0.818428184282	0.45	0.56	0.5	0.69
0.921985815603	0.29	0.67	0.4	0.665
0.81	0.58	0.7	0.64	0.77
0.893939393939	1.0	0.17	0.29	0.62
0.983695652174	1.0	0.75	0.86	0.925
0.738636363636	0.5	0.33	0.4	0.665
0.964285714286	1.0	0.62	0.77	0.87
0.911111111111	0.5	0.6	0.55	0.745
1.0	1.0	0.57	0.73	0.85
0.977777777778	0.75	0.6	0.67	0.82
0.931818181818	0.5	0.33	0.4	0.665
0.953488372093	0.83	0.71	0.77	0.87
0.958333333333	0.75	0.75	0.75	0.85
0.872628726287	0.73	0.89	0.8	0.875
0.929539295393	0.75	0.67	0.71	0.825
0.924444444444	1.0	0.6	0.75	0.865
0.940199335548	0.67	0.57	0.62	0.78
0.958333333333	0.67	0.33	0.44	0.695
1.0	1.0	0.67	0.8	0.89
1.0	0.38	1.0	0.55	0.745
0.905303030303	0.67	0.67	0.67	0.81
0.872340425532	0.25	0.33	0.29	0.62
0.9375	0.56	0.62	0.59	0.755
0.956810631229	0.57	0.57	0.57	0.75
0.950757575758	0.5	0.33	0.4	0.665
0.964285714286	0.67	0.5	0.57	0.75
0.956810631229	0.55	0.86	0.67	0.8
0.97619047619	0.71	0.62	0.67	0.805
0.991869918699	1.0	0.78	0.88	0.93
0.964444444444	0.67	0.8	0.73	0.85
0.734219269103	0.8	0.57	0.67	0.81
0.93023255814	0.56	0.71	0.63	0.78
0.95652173913	0.67	0.5	0.57	0.77
1.0	0.75	1.0	0.86	0.925
0.935606060606	1.0	0.83	0.91	0.95
0.968888888889	0.75	0.6	0.67	0.82
0.818452380952	0.57	0.5	0.53	0.725
0.963455149502	0.64	1.0	0.78	0.865
0.510416666667	0.5	0.5	0.5	0.74
0.848484848485	0.8	0.67	0.73	0.85
0.977777777778	0.8	0.8	0.8	0.89
0.90243902439	0.8	0.44	0.57	0.75
0.962121212121	1.0	0.5	0.67	0.82
0.896739130435	0.67	0.5	0.57	0.77
0.940476190476	0.75	0.75	0.75	0.85
0.920454545455	0.5	0.67	0.57	0.75
0.880758807588	0.75	0.67	0.71	0.825
0.995555555556	1.0	0.8	0.89	0.94
0.829268292683	0.67	0.67	0.67	0.8
0.770764119601	0.67	0.29	0.4	0.665
0.980066445183	0.86	0.86	0.86	0.92
0.916666666667	0.75	0.5	0.6	0.78
0.95652173913	0.6	0.75	0.67	0.82
0.935606060606	0.4	0.67	0.5	0.7
0.817777777778	0.57	0.8	0.67	0.81
0.934523809524	0.6	0.38	0.46	0.69
0.993355481728	1.0	0.86	0.92	0.955
0.769647696477	0.8	0.44	0.57	0.75
0.960526315789	0.82	0.75	0.78	0.86
0.888888888889	0.5	0.6	0.55	0.745
0.973214285714	1.0	0.5	0.67	0.81
0.964444444444	0.67	0.8	0.73	0.85
0.97	1.0	0.3	0.46	0.69
0.946666666667	1.0	0.6	0.75	0.865
0.90780141844	0.0	0.0	0.0	0.48
0.967391304348	0.75	0.75	0.75	0.865
0.91369047619	0.5	0.5	0.5	0.7
0.892543859649	0.67	0.67	0.67	0.78
0.910569105691	0.6	0.67	0.63	0.77
0.964285714286	0.75	0.38	0.5	0.715
0.935606060606	0.75	0.5	0.6	0.78
0.939393939394	1.0	0.64	0.78	0.865
0.981060606061	0.62	0.83	0.71	0.83
0.943262411348	0.4	0.67	0.5	0.73
0.920745920746	1.0	0.64	0.78	0.865
1.0	0.8	1.0	0.89	0.94
0.943452380952	0.86	0.75	0.8	0.88
0.978260869565	1.0	0.75	0.86	0.925
0.978723404255	0.6	1.0	0.75	0.865
0.935606060606	0.62	0.83	0.71	0.83
0.977777777778	0.75	0.6	0.67	0.82
0.915555555556	1.0	0.2	0.33	0.645
0.876456876457	1.0	0.64	0.78	0.865
0.827380952381	0.75	0.38	0.5	0.715
0.897727272727	1.0	0.5	0.67	0.82
0.993421052632	1.0	0.83	0.91	0.94
0.886363636364	0.67	0.33	0.44	0.695
0.814393939394	0.5	0.17	0.25	0.59
0.867424242424	0.43	0.5	0.46	0.69
1.0	1.0	1.0	1.0	1.0
0.945652173913	0.67	0.5	0.57	0.77
0.939393939394	0.67	0.67	0.67	0.81
0.995841995842	1.0	0.69	0.82	0.885
0.915555555556	1.0	0.4	0.57	0.77
